trade_date,open,high,low,close,vol,amount,adj_factor
20240827,47.3,47.35,46.54,46.72,110601.11,517689.8,1.0
20240828,46.8,47.66,46.69,47.36,92522.75,437525.28,1.0
20240829,47.15,47.62,46.99,47.26,106165.56,502868.959,1.0
20240830,46.85,48.48,46.71,48.24,215167.65,1029589.93,1.0
20240902,48.04,48.2,46.71,46.78,152629.6,722833.408,1.0
20240903,46.67,47.18,45.65,46.26,170094.97,787442.424,1.0
20240904,45.79,46.26,45.51,45.53,121542.06,556296.023,1.0
20240905,45.6,46.1,45.52,45.97,96703.92,443119.201,1.0
20240906,46.02,46.08,45.08,45.08,103708.76,471332.179,1.0
20240909,44.81,45.45,44.63,44.87,91519.76,411954.27,1.0
20240910,44.88,45.09,43.95,44.84,124351.44,552841.085,1.0
20240911,44.5,44.7,42.9,43.33,211768.27,922753.569,1.0
20240912,43.3,43.89,42.95,42.98,135165.19,585769.072,1.0
20240913,43.2,43.26,42.4,42.4,141554.91,606446.383,1.0
20240918,42.68,43.47,42.5,43.17,154173.52,663453.408,1.0
20240919,43.28,44.14,43.0,43.74,144365.32,629627.227,1.0
20240920,43.72,43.99,43.28,43.86,103733.82,453249.987,1.0
20240923,43.98,44.05,43.37,43.43,94436.65,411933.389,1.0
20240924,43.73,44.79,43.37,44.77,214159.27,947444.93,1.0
20240925,45.05,46.0,44.82,44.9,247583.46,1125901.688,1.0
20240926,45.0,46.49,44.77,46.36,260172.72,1188607.84,1.0
20240927,47.0,50.0,47.0,49.99,298874.23,1447355.629,1.0
20240930,53.0,59.99,53.0,59.99,1092635.71,6255248.098,1.0
20241008,71.99,71.99,70.0,71.99,976652.02,7016236.459,1.0
20241009,72.19,86.39,70.5,83.89,3475315.03,28255009.862,1.0
20241010,85.1,86.35,70.01,75.02,2104016.38,16322871.324,1.0
20241011,71.03,73.7,68.8,69.48,1362732.05,9649229.123,1.0
20241014,69.48,76.5,67.77,75.6,1364156.89,9835546.719,1.0
